Cueanexo,ID_DEPTO
20000100,02000
20000200,02000
20000300,02000
20000500,02000
20000700,02000
20000800,02000
20000900,02000
20001000,02000
20001100,02000
20001200,02000
20001700,02000
20001800,02000
20002200,02000
20002300,02000
20002400,02000
20002500,02000
20002600,02000
20002700,02000
20002800,02000
20002900,02000
20003100,02000
20003300,02000
20003400,02000
20003500,02000
20003700,02000
20003701,02000
20003703,02000
20003800,02000
20003900,02000
20004000,02000
20004100,02000
20004200,02000
20004300,02000
20004400,02000
20004600,02000
20004700,02000
20004800,02000
20004900,02000
20005000,02000
20005100,02000
20005300,02000
20005400,02000
20005500,02000
20005600,02000
20005800,02000
20005801,02000
20006300,02000
20006500,02000
20007100,02000
20007200,02000
20007300,02000
20007500,02000
20007501,02000
20007502,02000
20007600,02000
20007700,02000
20007800,02000
20007900,02000
20008200,02000
20008300,02000
20008400,02000
20008500,02000
20008600,02000
20008700,02000
20008900,02000
20009000,02000
20009100,02000
20009500,02000
20009700,02000
20009800,02000
20009900,02000
20010000,02000
20010200,02000
20010300,02000
20010400,02000
20011000,02000
20011100,02000
20011200,02000
20011300,02000
20011400,02000
20011500,02000
20011600,02000
20011700,02000
20011800,02000
20012000,02000
20012100,02000
20012300,02000
20012301,02000
20012500,02000
20012600,02000
20012700,02000
20012800,02000
20012900,02000
20013000,02000
20013500,02000
20013600,02000
20013800,02000
20013900,02000
20014000,02000
20014100,02000
20014200,02000
20014300,02000
20014400,02000
20014500,02000
20014600,02000
20015000,02000
20015200,02000
20015300,02000
20015400,02000
20015500,02000
20015700,02000
20015800,02000
20015801,02000
20015900,02000
20016000,02000
20016100,02000
20016300,02000
20016500,02000
20016600,02000
20016700,02000
20016800,02000
20016900,02000
20017000,02000
20017400,02000
20017500,02000
20017700,02000
20017701,02000
20017702,02000
20017800,02000
20018100,02000
20018400,02000
20018500,02000
20018600,02000
20018700,02000
20018701,02000
20018702,02000
20018800,02000
20018900,02000
20019000,02000
20019200,02000
20019300,02000
20019400,02000
20019600,02000
20019800,02000
20019900,02000
20020100,02000
20020200,02000
20020300,02000
20020600,02000
20020700,02000
20020800,02000
20020900,02000
20021200,02000
20021300,02000
20021400,02000
20021500,02000
20021600,02000
20021700,02000
20021800,02000
20021900,02000
20022000,02000
20022001,02000
20022002,02000
20022003,02000
20022100,02000
20022300,02000
20022400,02000
20022500,02000
20023000,02000
20023100,02000
20023200,02000
20023300,02000
20023400,02000
20023500,02000
20023600,02000
20023700,02000
20023900,02000
20023901,02000
20024000,02000
20024800,02000
20024900,02000
20024902,02000
20024903,02000
20025000,02000
20025100,02000
20025300,02000
20025400,02000
20025500,02000
20025600,02000
20026400,02000
20026800,02000
20027300,02000
20027400,02000
20027500,02000
20027600,02000
20027800,02000
20027804,02000
20027900,02000
20028100,02000
20028300,02000
20028500,02000
20028600,02000
20028700,02000
20028900,02000
20029000,02000
20029001,02000
20029002,02000
20029300,02000
20029400,02000
20029401,02000
20029500,02000
20029600,02000
20029700,02000
20029800,02000
20029900,02000
20030200,02000
20030300,02000
20030400,02000
20030500,02000
20030700,02000
20030900,02000
20030902,02000
20031100,02000
20031700,02000
20031900,02000
20032400,02000
20032500,02000
20032800,02000
20032900,02000
20033000,02000
20033100,02000
20033300,02000
20033400,02000
20033500,02000
20033600,02000
20033601,02000
20033602,02000
20034100,02000
20034200,02000
20034400,02000
20034401,02000
20034402,02000
20034403,02000
20034900,02000
20035000,02000
20035100,02000
20035200,02000
20035300,02000
20035400,02000
20035500,02000
20035600,02000
20035800,02000
20036100,02000
20036200,02000
20036300,02000
20036400,02000
20036600,02000
20036601,02000
20036800,02000
20037000,02000
20037200,02000
20037900,02000
20038000,02000
20038100,02000
20038200,02000
20038300,02000
20038600,02000
20038700,02000
20039800,02000
20039900,02000
20040000,02000
20040100,02000
20040200,02000
20040300,02000
20040400,02000
20040700,02000
20041000,02000
20041100,02000
20041200,02000
20041300,02000
20041400,02000
20041500,02000
20041700,02000
20041800,02000
20041900,02000
20042000,02000
20042100,02000
20042200,02000
20042400,02000
20042500,02000
20042600,02000
20042700,02000
20042800,02000
20043300,02000
20043700,02000
20043800,02000
20043900,02000
20044000,02000
20044100,02000
20044200,02000
20044400,02000
20044401,02000
20044402,02000
20044600,02000
20044700,02000
20045100,02000
20045500,02000
20045600,02000
20045700,02000
20045800,02000
20046000,02000
20046100,02000
20046200,02000
20046300,02000
20046400,02000
20046700,02000
20046702,02000
20046703,02000
20046900,02000
20047000,02000
20047200,02000
20047300,02000
20047400,02000
20047600,02000
20047700,02000
20047800,02000
20047900,02000
20048100,02000
20048300,02000
20048400,02000
20048500,02000
20048600,02000
20048700,02000
20048900,02000
20049000,02000
20049100,02000
20049200,02000
20049300,02000
20049400,02000
20049500,02000
20049600,02000
20049700,02000
20049900,02000
20050000,02000
20050200,02000
20050300,02000
20050400,02000
20050600,02000
20050800,02000
20050900,02000
20051100,02000
20051200,02000
20051300,02000
20051400,02000
20051600,02000
20051800,02000
20051900,02000
20052000,02000
20052100,02000
20052300,02000
20052400,02000
20052500,02000
20052600,02000
20052700,02000
20052800,02000
20053000,02000
20053100,02000
20053200,02000
20053300,02000
20053400,02000
20053500,02000
20053600,02000
20053601,02000
20053602,02000
20053900,02000
20054000,02000
20054100,02000
20054200,02000
20054300,02000
20054400,02000
20054500,02000
20054600,02000
20055400,02000
20055401,02000
20055402,02000
20055403,02000
20055404,02000
20055500,02000
20055600,02000
20055700,02000
20055800,02000
20055900,02000
20056000,02000
20056100,02000
20056200,02000
20056300,02000
20056400,02000
20056500,02000
20056600,02000
20056700,02000
20056800,02000
20057000,02000
20057100,02000
20057200,02000
20057500,02000
20057800,02000
20057900,02000
20058000,02000
20058001,02000
20058100,02000
20058200,02000
20058300,02000
20058400,02000
20058401,02000
20058500,02000
20058800,02000
20058900,02000
20059200,02000
20059300,02000
20059400,02000
20059500,02000
20059600,02000
20059800,02000
20059900,02000
20060000,02000
20060100,02000
20060200,02000
20060300,02000
20060500,02000
20060600,02000
20060700,02000
20061100,02000
20061200,02000
20061300,02000
20061400,02000
20061500,02000
20061600,02000
20061700,02000
20061701,02000
20061703,02000
20061704,02000
20061800,02000
20061900,02000
20062000,02000
20062100,02000
20062200,02000
20062300,02000
20062400,02000
20062800,02000
20062900,02000
20063000,02000
20063100,02000
20063200,02000
20063300,02000
20063500,02000
20063700,02000
20063800,02000
20063900,02000
20064100,02000
20064200,02000
20064300,02000
20064400,02000
20064500,02000
20064600,02000
20064700,02000
20064800,02000
20064900,02000
20065000,02000
20065200,02000
20065300,02000
20065400,02000
20065500,02000
20065600,02000
20065800,02000
20065900,02000
20066000,02000
20066100,02000
20066200,02000
20066300,02000
20066400,02000
20066600,02000
20066700,02000
20066800,02000
20066900,02000
20067000,02000
20067200,02000
20067300,02000
20067400,02000
20067500,02000
20067600,02000
20067700,02000
20067800,02000
20068000,02000
20068100,02000
20068300,02000
20068400,02000
20068500,02000
20068600,02000
20068700,02000
20068900,02000
20069000,02000
20069100,02000
20069200,02000
20069400,02000
20069500,02000
20069502,02000
20069504,02000
20069600,02000
20069900,02000
20070000,02000
20070100,02000
20070200,02000
20070300,02000
20070400,02000
20070500,02000
20070600,02000
20070601,02000
20070602,02000
20070603,02000
20070700,02000
20070800,02000
20070900,02000
20071000,02000
20071100,02000
20071300,02000
20071302,02000
20071303,02000
20071400,02000
20071500,02000
20071600,02000
20071700,02000
20071800,02000
20072000,02000
20072100,02000
20072300,02000
20072400,02000
20072600,02000
20072700,02000
20072800,02000
20072900,02000
20073000,02000
20073100,02000
20073200,02000
20073300,02000
20073500,02000
20073600,02000
20073700,02000
20073701,02000
20073702,02000
20073703,02000
20073800,02000
20073900,02000
20074000,02000
