Nombre,Domicilio,ID_DEPTO,Mail,Capacidad
Centro Cultural de la Cooperación - CCC -,"Corrientes, Av. 1543",02000,centrocultural,583.0
Centro Cultural Buda Bar,Costa Rica 4659,02000,gmail,500.0
Espacio Valeu,Costa Rica 4929,02000,gmail,150.0
Shambala,Costa Rica 5673,02000,hotmail,0.0
Centro Cultural Plan B,De Los Incas Av. 4544,02000,hotmail,250.0
Espacio Cultural Defensa,Defensa 535,02000,,0.0
Centro Cultural de la Memoria Haroldo Conti,"Del Libertador, Av. 8151",02000,gmail,0.0
Beethoven Cafe Bar,Directorio Av. 964,02000,outlook,50.0
Espacio Cultural Chacra De Los Remedios,Directorio Av. Y Lacarra,02000,gmail,0.0
Munar,Don Pedro De Mendoza Av 1555,02000,,0.0
Casa Brandon,Drago. Luis Maria 236,02000,brandon,120.0
Espacio37,El Salvador 4607,02000,hotmail,140.0
"ANDUMA, ESPACIO CULTURAL",Escalada de San Martín 4553,02000,,
La Paternal Espacio Proyecto,Espinosa 2672,02000,,0.0
Casa Dasein,Estado De Israel Av. 4116,02000,gmail,60.0
Centro Cultural El Ph,Estado De Palestina 738,02000,gmail,150.0
Espacio Saoco,Estado De Palestina 933,02000,gmail,111.0
Cdca,Estados Unidos 425,02000,,
Otra Historia,Estomba 851,02000,gmail,145.0
Club Cultural Malvinas Argentinas,Eva Perón 1930,02000,,
Despierta,Federico Lacroze 3578,02000,,
Casa De Cultura Y Politica Sofia Yussen - Casa Sofia,Fitz Roy 1327,02000,gmail,80.0
Buenos Aires Dance Club,Florida 550,02000,hotmail,150.0
Enjambre,Francisco Acuña De Figueroa  1656,02000,gmail,100.0
Xua Espacio Cultural,Freire 1424,02000,gmail,
El Emergente Abasto,Gallo 333,02000,gmail,150.0
Casa Colombo,Gallo 557,02000,gmail,800.0
ESQUINA REBELDE,Gallo 769,02000,gmail,
Otro Lado,Gallo 769,02000,hotmail,100.0
La Brecha,"Garay, Juan De Av. 2900",02000,,0.0
Dulce,General Juan G.Lemos 299,02000,gmail,
Cumaco,Godoy Cruz 1725,02000,hotmail,
Centro Cultural De La Ciencia - C3,Godoy Cruz 2270,02000,ccciencia,0.0
Espacio Cultural Juan Rodo,Godoy Cruz 2655,02000,escuelajuanrodo,80.0
Laboratorio De Festival,Gorriti 5741,02000,gmail,0.0
Club Social Y Deportivo Yupanqui,Guamini 4512,02000,,200.0
Jungla Habitat Cultural,Guardia Vieja 3580,02000,,0.0
Ladran Sancho,Guardia Vieja 3811,02000,gmail,94.0
Vibra,Guardia Vieja 4085,02000,gmail,100.0
The Monkeys,Guatemala 4462,02000,,0.0
El Quetzal,Guatemala 4516,02000,gmail,150.0
Fundacion Hastinapura,Guayaquil 777,02000,gmail,0.0
Fundacion Hastinapura,Guemes 2981,02000,hastinapura,25.0
El Donn,Guemes 3825,02000,,
Work,Gurruchaga 1830,02000,gmail,350.0
Espacio Pichuco,Hipólito Yrigoyen 3824,02000,gmail,
Asociacion Calabresa Mutual Y Cultural,Hipolito Yrigoyen 3950,02000,asociacioncalabresa,0.0
Feeling Multiespacio,Honduras 4648,02000,gmail,150.0
Centro Cultural Richards,Honduras 5272,02000,gmail,0.0
Mango,Honduras 5275,02000,gmail,150.0
Congo Club Cultural,Honduras 5329,02000,congoclubcultural,150.0
La Herreria,Hugo. Victor 960,02000,gmail,150.0
Casona Cultural Humahuaca,Humahuaca 3508,02000,gmail,50.0
Urda Espacio Cultural,Humahuaca 4130,02000,gmail,110.0
Celia Blanco,Humberto 1° 1783,02000,yahoo,0.0
Escape,Humberto 1° 623,02000,gmail,60.0
Fundacion Mercedes Sosa,Humberto 1º 378,02000,-,0.0
Chela,Iguazú 451,02000,,0.0
Centro Cultural Leopoldo Gonzalez,Independencia 446,02000,,0.0
Auditorio CTA Capital,Independencia 766,02000,,
Jj Circuito Cultural,Jaures. Jean 347,02000,gmail,250.0
Tano Cabrón,Jean Jaures 715,02000,gmail,
Espacio EK' arte.movimiento,Jorge Newbery y Guevara,02000,gmail,
Centro Cultural De La India Güngur,José A. Cabrera 4175,02000,gungur,
Espacio Cultural Marco Del Pont,Jose Gervasio. Gral. Artigas 202,02000,buenosaires,0.0
La Escalera Espacio De Arte,Juan B. Justo 889,02000,fibertel,50.0
Doup,Juan B. Justo Av. 2261,02000,doup,300.0
Centro Cultural Nuestra América,Juan Domingo Peron 3390,02000,hotmail,
Centro Cultural Teatro Fray Mocho,Juan Domingo Peron 3644,02000,yahoo,98.0
Casailda,Julián Alvarez 1861,02000,yahoo,50.0
Chana - Usina Juan Gelman,Julian Alvarez Y Warnes,02000,,0.0
Centro Cultural Recoleta,Junin 1930,02000,s/d,0.0
Casa Rock,Justo. Juan B. Av. 1477,02000,onplayproducciones,450.0
Gorriti Art Center,Justo. Juan B. Av. 1617,02000,gorritiartcenter,235.0
El Ceibo - Espacio Cultural,Justo. Juan B. Av. 5495,02000,Lukmmarqhotmail.Com,60.0
Espacio Sueños,La Plata Av. 1255,02000,espaciosuenios,150.0
Centro Barrial y Cultural La Bonavena,La Rioja 1763,02000,gmail,
La Confiteria,Lacroze. Federico Av. 2963,02000,la-confiteria,250.0
Espacio La Tribu,Lambare 873,02000,gmail,0.0
Centro Cultural No Me Olvides,Lavalleja 1008,02000,,
Espacio Marechal,Leopoldo Marechal 1160,02000,gmail,69.0
Espacio Cultural Almagro,Llavalle 3946,02000,,
Deira,Lope De Vega Av. 964,02000,outlook,750.0
Espacio Salvo,Luis Viale 89,02000,gmail,
Luzuriaga Club Social,Luzuriaga 348,02000,luzuriaga,90.0
Poncho Club Cultural,Marechal. Leopoldo 1219,02000,gmail,100.0
ARQUEOTERRA ,Mariano Acha 1964,02000,gmail,
Wara Wara,Martinez Rosas 969,02000,,0.0
Galpon Cultural El Hueco,Maturín 2439,02000,,0.0
Casa Maza,Maza 1160,02000,,100.0
La Minga Club Cultural,Maza 1165,02000,gmail,50.0
Las Mil Y Un Artes Centro Cultural,Medrano 645,02000,yahoo,0.0
Batacazo Cultural,Medrano Av. 627,02000,hotmail,50.0
Espacio Cultural Lineas De Fuga,Melincue 4276,02000,gmail,0.0
Centro Cultural La Estrada,Mexico 2849,02000,gmail,0.0
Bonus Truck,Mexico 3659,02000,gmail,0.0
Cacuca,Moldes 807,02000,,0.0
Casa Clorinda,Monroe 4831,02000,gmail,150.0
Nueva Caledonia,"Montes De Oca, Manuel Av.",02000,gmail,300.0
La Paz Arriba,Montevideo 421,02000,gmail,0.0
Cultural Moran,Moran. Pedro 2147,02000,culturamoran,150.0
Estacion de los Deseos,Morelos 109,02000,yahoo,
La Cazona De Flores,Moron 2453,02000,gmail,150.0
Hunterbier De Pezzano Roberto Ariel,Newbery. Jorge Av. 3519,02000,gmail,150.0
Leon Leon,Nicaragua 4432,02000,gmail,60.0
Casa Rodolfo Walsh,Nicaragua 4441,02000,gmail,150.0
Cultural Vivvo,Nicaragua 4462,02000,,
Centro Cultural Sofía Gempel Arte,Nogoya 3455,02000,,
Espacio Cultural Que Tren Que Tren,Olazábal 1784,02000,hotmail,
Multiespacio La Comunidad Del Sotano / Comunidad Multiespacio,Oroño. Nicasio 2480,02000,lacomunidaddelsotano,136.0
Laboratori Estudio,Otero 233,02000,gmail,
Laborando,Otero 246,02000,laborando,
Multiespacio Korova,Paraguay 4667,02000,gmail,80.0
Club De Musica,Paraguay 5519,02000,hotmail,139.0
Stand Up Club,Paraná 1021,02000,standupclubrecoleta,
Centro Cultural de España en Buenos Aires,Paraná 1159,02000,aecid,
La Scala De San Telmo,Pasaje Giuffra 371 ,02000,lascala,102.0
La Casa Roja,Pasaje Honorio Leguizamon 3726,02000,gmail,0.0
Area 623,Pasco 623,02000,area623,
Multiespacio Pasco,Pasco 689,02000,gmail,0.0
ESPACIO EL ZONKO,"Pavón, Av. 2552",02000,gmail,
Ame Triglav,Peralta 1458,02000,,
Asoc. Civil La Bombocova,Perdriel 449,02000,-,0.0
Centro Cultural Adan Buenos Aires,Peron. Eva Av. 1400,02000,,284.0
Espacio Cultural San Andres,Peru 352,02000,sanandres,0.0
Clasico Fernandez,Piedras 1020,02000,clasicofernandez,72.0
El Universal,Pje. Pablo Soria 4940,02000,eluniversalespaciocultural,118.0
Centro Cultural Vamos A Andar,Pres. Ramón Castillo Av,02000,,0.0
REDUCI- MUTUALIDAD ITALIANA DE EX COMBATIENTES ,Presidente Luis Sáenz Peña 1442 ,02000,,
Club Cultural Matienzo,Pringles 1249,02000,ccmatienzo,400.0
Estudio Kalo,Puán 481,02000,gmail,
Espacio Pujol,Pujol 1110,02000,,50.0
IMPA Centro Cultural IMPA La Fábrica,Querandíes 4290,02000,infovia,200.0
El Taller De Jacinto Espacio De Arte,Quinquela Martin. Benito 1201,02000,yahoo,150.0
Oceanario Club Cultural,Remedios de Escalada de San Martín 332,02000,gmail,95.0
Complejo Cultural Sanidad,Republica Bolivariana De Venezuela 2255,02000,atsa,0.0
Rincon Casa Cultural,Rincon 1330,02000,hotmal,80.0
Jaciento Oviedo,Riobamba 434,02000,,0.0
Planta Alta,Rivadavia Av. 7609,02000,gmail,95.0
Ter,Rivadavia Av. 8535,02000,hotmail,80.0
El Puente,Rivadavia Av. 9810,02000,hotmail,150.0
EspecialCultural Bar,"Rivadavia, Av. 1261",02000,gmail,
Espacio Cultural Tinta Roja,Roque Pérez 2910,02000,gmail,
La Chilinga,Ruiz Huidobro 4228,02000,gmail,
Comunes,s/d,02000,,
Casa Epuyen,s/d,02000,gmail,
Casa Safiras,s/d,02000,gmail,
Centro Cultural Maleza,s/d,02000,gmail,
"La Peatonal, Espacio Cultural",s/d,02000,gmail,
Zugarra Casa Cultural,s/d,02000,gmail,
MAGMA,s/d,02000,gmail,
Polo Bandoneon,Saenz Av. 1480,02000,,0.0
La Muda,Salta 611,02000,gmail,
921 Casa Cultural,San José De Calasanz 921,02000,gmail,50.0
El Tipografico,San Juan Av. 3246,02000,gmail,150.0
Fundacion Hastinapura,San Juan Av. 3679,02000,hastinapura,150.0
La Bisagra,"San Juan, Av. 1826",02000,,0.0
Cusca Risun,San Lorenzo 365,02000,,91.0
Alter Ego,San Martin Av. 5759,02000,hotmail,90.0
Saldias Polo Cultural,San Pedro De Jujuy,02000,,0.0
Otro Divague Espacio De Arte,Sanchez De Bustamante 136,02000,gmail,20.0
Arte Xxi,Sanchez De Bustamante 158,02000,gmail,100.0
Amarama Patio Cultural,Sanchez de Bustamante 543,02000,gmail,
Casa Gatica,Sanchez De Bustamante 551,02000,,0.0
Caff - Club Atletico Fernandez Fierro,Sanchez De Bustamante 722,02000,caff,100.0
Cultural Titi Rossi,Sanchez De Loria 695,02000,,
Naranja Verde,"Santa Fe, Av. 1284",02000,gmail,50.0
Cc Amigos De Eladia Blasquez,"Santa Fe, Av. 5362",02000,,150.0
Casa El Mate,Santiago Del Estero 638,02000,gmail,50.0
Centro Cultural San Martin,Sarmiento 1551,02000,buenosaires,0.0
Panda Rojo Espacio Cultural,Sarmiento 3096,02000,,80.0
Ciudad Cultural Konex,Sarmiento 3125,02000,ciudadculturalkonex,2380.0
Centro Cultural Macedonia,Sarmiento 3632,02000,,
Swing City,Scalabrini Ortiz 103,02000,,
Ifa,Scalabrini Ortiz. Raul Av. 326,02000,hotmail,99.0
Centro Cultural De Arte Y Movimiento - Baila Ba!,Scalabrini Ortiz. Raul Av. 540,02000,webzero,200.0
Club Boddah,Serrano 1291,02000,,
Asociacion Ucrania De Cultura Provista En La Republica Argentina,Soler 5039,02000,gmail,150.0
Soria,Soria 5148,02000,hotmail,0.0
Sociedad Luz,Suarez 1301,02000,gmail,0.0
Centro Ana Frank ,Superí 2647,02000,annefrank,
Tacuari Tango,Tacuari 1557,02000,,100.0
Tierra Violeta,Tacuari 538,02000,tierra-violeta,30.0
La Casa,Tarija 3900,02000,lacasacasting,45.0
Cooperativa Cultural Qi,Thames 240,02000,gmail,100.0
La Senda,Thorne 493,02000,gmail,50.0
Centro Cultural El Sueñero,Tomas Liberti 1133,02000,yahoo,60.0
Centro Cultural 25 De Mayo,Triunvirato 4444,02000,gmail,466.0
Escash Espacio Cultural,Triunvirato 5786,02000,,
Espacio Cultural Domus Artis,"Triunvirato, Av.   4307",02000,domusartis,
Centro Cultural Nueva Uriarte,Uriarte 1289,02000,,130.0
Centro Cultural Ernesto Sabato,Uriburu 763,02000,econ,0.0
Espacio Dos Puntos,Uruguay 1223,02000,espaciodospuntos,
Flores Solidario,Varela 336,02000,gmail,
La Turba,Varela Av. 503,02000,gmail,0.0
Morris,Vega. Niceto. Cnel. Av. 5642,02000,gmail,200.0
El Galpon,Vega. Niceto. Cnel. Av. 5976,02000,gmail,0.0
Chau Che Clu,Velez Sarsfield Av. 216,02000,gmail,300.0
Oliverio Girondo,Vera 574,02000,gmail,0.0
Centro Cultural Borges- Fund.Para Artes,Viamonte 525,02000,ccborges,0.0
Espacio Cultural Garcia,Vidal 3801,02000,,0.0
Cazadores De Arte,Villaroel 1438,02000,,
Espacio Inboccalupo,Virrey Arredondo 2493 ,02000,yahoo,80.0
"DYNART, Espacio de arte",Vuelta de Obligado 3587,02000,dynart,
Mojitos De Cuba,Yerbal 1655,02000,yahoo,150.0
Centro Politico Cultural El Hormiguero,Yrigoyen. Hipolito 1440,02000,,150.0
Galpon Cultural Piedrabuenarte,Zuviria 6654,02000,hotmail,0.0
Centro Cultural de Adolfo Alsina,Mitre y Urquiza,06007,adolfoalsina,
Centro Cultural Poeta Barbieri,Almirante Brown 46 ,06021,alberti,
"Espacio y Casa Cultural ""El Refugio""",Adolfo Alsina 1655,06028,,
Centro Cultural de Adrogue - Sala Bárbara Mujica,Castelli 953,06028,culturaldeadrogue,130.0
La Casa Espacio de Debate y Cultura,Collet 1021,06028,hecultura,120.0
Los Bemoles,"Espora, Av. 4417",06028,gmail,
Casa Municipal de la Cultura de Almte. Brown,Esteban Adrogué 1224,06028,brown,
El Derrumblé,Eugenio de Burzaco 716,06028,,
Arte en Movimiento,Jorge Santiago Bynnón 1719,06028,gmail,
Centro Cultural Lanza Sabaris,Juan B. Azopardo 53,06028,gmail,
Casa Elefante,Pellegrini 970,06028,gmail,
Deshoras Club de Música y Artes ,Roca 757,06028,gmail,
LA CASA,Rodolfo Collet 1021,06028,lacasaclaypole,
Centro de Participación Comunitaria del Suburbio,Alsina 355,06028,,
Casa De Chamigos,Hipolito Yrigoyen 18015,06028,gmail,
Centro Cultural Florentino Ameghino,25 de Mayo 851,06035,yahoo,200.0
Centro Cultural Bella Vista,Almafuerte 559,06035,gmail,200.0
Centro Cultural La Casa del Flaco,Barcelo 537,06035,gmail,80.0
Asociación Cultural y Folklórica Martín Fierro ,Bartolomé Mitre 2226,06035,,
Barracas al Sud,"Bartolomé Mitre, Av. 366",06035,s/d,0.0
Centro Cultural A Cielo Abierto,"Bartolomé Mitre, Av. y Maipú",06035,gmail,
Sociedad de Fomento Bartolomé Mitre,Belgrano 6468,06035,s/d,0.0
Centro Cultural Justo Lynch,Bragado 5709,06035,gmail,70.0
Centro Cultural Patas Arriba,Brandsen 1517,06035,gmail,150.0
Centro Cultural La Curtiembre,Brandsen 3461,06035,hotmail,200.0
Centro Cultural Hogares La Paz,Campichuelo 6757,06035,gmail,50.0
Hugo Caruso,Colón 450,06035,s/d,0.0
Sociedad de Fomento Villa J. Nuñez,Colonia 3800,06035,s/d,250.0
Sociedad de Fomento y Cultura Gral. Lavalle,Constitucion 627,06035,gmail,150.0
Sociedad de Fomento y Cultura Barrio Agüero,Crisólogo Larralde 114,06035,s/d,100.0
Sociedad de Fomento Villa Argentina,De la Serna 2022,06035,s/d,100.0
El Semillero - Fábrica de Arte,Debenedetti 3450 ,06035,gmail,
Centro Cultural 13 de Julio,Defensa 1558 ,06035,,
Sociedad de Fomento Villa Mercado,Elizalde 1132,06035,outlook,300.0
