Provincia,Departamento,Jardines,Poblacion_Jardin,Primarias,Poblacion_Primaria,Secundarias,Poblacion_Secundaria
Corrientes,Saladas,28.0,2703,28.0,3024,15.0,3676
Buenos Aires,Saladillo,25.0,2716,37.0,3213,16.0,3911
Santiago del Estero,Salavina,28.0,1294,38.0,1443,21.0,1957
Buenos Aires,Salliqueló,5.0,653,5.0,818,5.0,991
Buenos Aires,Salto,21.0,3175,20.0,3725,15.0,4474
Córdoba,San Alberto,49.0,3328,54.0,3968,24.0,4656
Buenos Aires,San Andrés de Giles,27.0,2151,29.0,2599,18.0,3015
Jujuy,San Antonio,6.0,539,6.0,699,2.0,738
Río Negro,San Antonio,14.0,2730,15.0,3609,11.0,3973
Buenos Aires,San Antonio de Areco,26.0,2120,18.0,2443,13.0,2999
La Rioja,San Blas de Los Sauces,6.0,345,7.0,429,5.0,494
Mendoza,San Carlos,45.0,3475,30.0,4334,14.0,4793
Salta,San Carlos,21.0,674,21.0,950,6.0,964
Buenos Aires,San Cayetano,7.0,615,10.0,731,4.0,881
Corrientes,San Cosme,22.0,1633,22.0,1882,11.0,2017
Santa Fe,San Cristóbal,105.0,5906,112.0,7064,49.0,8200
Buenos Aires,San Fernando,65.0,11498,55.0,15307,51.0,18054
Chaco,San Fernando,169.0,31821,140.0,38963,167.0,43342
Misiones,San Ignacio,71.0,6498,79.0,7468,47.0,7918
Buenos Aires,San Isidro,97.0,17057,90.0,22338,102.0,29037
Santa Fe,San Javier,35.0,3076,40.0,3454,17.0,3561
Córdoba,San Javier,49.0,4809,52.0,6034,26.0,6847
Misiones,San Javier,34.0,2346,40.0,2808,10.0,2956
Santa Fe,San Jerónimo,53.0,6707,64.0,7813,31.0,8888
Santa Fe,San Justo,43.0,3766,50.0,4407,21.0,4999
Córdoba,San Justo,158.0,17737,172.0,20783,98.0,24859
Santa Fe,San Lorenzo,51.0,16356,58.0,19715,51.0,20824
Chaco,San Lorenzo,15.0,1707,31.0,1818,5.0,1995
Corrientes,San Luis del Palmar,40.0,1862,44.0,2025,13.0,2496
Mendoza,San Martín,82.0,11642,62.0,14861,29.0,15658
Santa Fe,San Martín,47.0,5177,53.0,6077,24.0,6928
San Juan,San Martín,12.0,1586,12.0,1863,6.0,2020
Santiago del Estero,San Martín,27.0,1183,36.0,1345,21.0,1737
Corrientes,San Martín,17.0,1512,25.0,1702,13.0,1972
Corrientes,San Miguel,15.0,1287,17.0,1498,9.0,1740
Buenos Aires,San Miguel,87.0,24752,92.0,31904,108.0,35784
Buenos Aires,San Nicolás,51.0,12727,56.0,15253,62.0,17817
Jujuy,San Pedro,44.0,7205,41.0,9254,33.0,10031
Buenos Aires,San Pedro,30.0,5781,42.0,7116,29.0,8280
Misiones,San Pedro,49.0,4462,79.0,4904,34.0,4984
Mendoza,San Rafael,161.0,17237,130.0,21325,66.0,23389
Corrientes,San Roque,24.0,2171,28.0,2315,14.0,2767
Entre Ríos,San Salvador,19.0,1743,19.0,2142,9.0,2515
Buenos Aires,San Vicente,28.0,9859,30.0,12095,23.0,12889
La Rioja,Sanagasta,1.0,230,1.0,317,1.0,314
Jujuy,Santa Bárbara,14.0,1905,15.0,2399,11.0,2601
Jujuy,Santa Catalina,15.0,282,16.0,302,9.0,352
San Juan,Santa Lucía,16.0,5620,18.0,6657,10.0,7378
Córdoba,Santa María,70.0,12002,70.0,14361,45.0,15614
Catamarca,Santa María,27.0,2179,37.0,2579,29.0,3038
Mendoza,Santa Rosa,34.0,1765,22.0,2143,7.0,2263
Catamarca,Santa Rosa,7.0,1154,25.0,1288,12.0,1549
Salta,Santa Victoria,38.0,909,45.0,1226,9.0,1428
Corrientes,Santo Tomé,46.0,6984,49.0,8046,27.0,9133
Chaco,Sargento Cabral,14.0,1769,29.0,1978,11.0,2220
Santiago del Estero,Sarmiento,10.0,533,17.0,630,8.0,716
Chubut,Sarmiento,9.0,1344,8.0,1701,6.0,1804
San Juan,Sarmiento,23.0,2876,26.0,3274,21.0,3883
Corrientes,Sauce,14.0,922,18.0,1061,6.0,1304
Santiago del Estero,Silípica,14.0,861,16.0,1008,14.0,1241
Tucumán,Simoca,52.0,3132,52.0,3784,34.0,4234
Córdoba,Sobremonte,9.0,345,14.0,401,4.0,541
Buenos Aires,Suipacha,13.0,981,14.0,1157,6.0,1428
Jujuy,Susques,9.0,439,10.0,527,9.0,560
Tucumán,Tafí Viejo,55.0,15052,49.0,18682,42.0,20891
Tucumán,Tafí del Valle,24.0,1828,24.0,2270,15.0,2471
Entre Ríos,Tala,36.0,2477,47.0,3068,18.0,3496
Buenos Aires,Tandil,62.0,9785,60.0,12620,52.0,14987
Buenos Aires,Tapalqué,14.0,873,22.0,971,6.0,1213
Chaco,Tapenagá,5.0,394,10.0,437,8.0,510
Chubut,Tehuelches,4.0,464,5.0,643,5.0,657
Chubut,Telsen,3.0,117,4.0,144,4.0,174
Córdoba,Tercero Arriba,66.0,9114,70.0,10870,47.0,12405
Buenos Aires,Tigre,124.0,32611,111.0,44078,114.0,53284
Jujuy,Tilcara,16.0,1063,18.0,1549,9.0,1803
Catamarca,Tinogasta,30.0,2024,39.0,2400,21.0,3068
La Pampa,Toay,7.0,1540,7.0,2073,5.0,2136
Buenos Aires,Tordillo,4.0,244,5.0,259,1.0,270
Buenos Aires,Tornquist,15.0,997,20.0,1351,12.0,1436
Córdoba,Totoral,25.0,1943,35.0,2217,11.0,2670
Tucumán,Trancas,25.0,2185,25.0,2451,20.0,2881
La Pampa,Trenel,4.0,435,4.0,506,4.0,569
Buenos Aires,Trenque Lauquen,41.0,4016,46.0,4578,19.0,5190
Buenos Aires,Tres Arroyos,35.0,4260,43.0,5501,25.0,6283
Buenos Aires,Tres Lomas,7.0,682,7.0,834,5.0,986
Buenos Aires,Tres de Febrero,108.0,21166,87.0,28750,91.0,35036
Córdoba,Tulumba,33.0,1158,42.0,1209,8.0,1507
Jujuy,Tumbaya,15.0,375,15.0,534,6.0,565
Mendoza,Tunuyán,42.0,5158,31.0,6688,13.0,7298
Mendoza,Tupungato,25.0,3810,22.0,4851,11.0,5315
San Juan,Ullum,2.0,614,2.0,738,2.0,830
Córdoba,Unión,90.0,8748,98.0,10277,56.0,12072
Entre Ríos,Uruguay,86.0,8632,96.0,10712,52.0,12820
Tierra del Fuego,Ushuaia,24.0,6135,29.0,7604,28.0,8504
La Pampa,Utracán,12.0,1321,14.0,1797,11.0,1955
Río Negro,Valcheta,6.0,337,8.0,395,5.0,429
San Juan,Valle Fértil,19.0,772,21.0,825,21.0,939
Jujuy,Valle Grande,6.0,194,8.0,276,6.0,329
Catamarca,Valle Viejo,15.0,2667,18.0,3303,14.0,3905
Santa Fe,Vera,87.0,4985,92.0,5622,33.0,6460
Buenos Aires,Vicente López,106.0,14893,76.0,19249,83.0,24673
Entre Ríos,Victoria,41.0,3123,46.0,3601,34.0,4287
Buenos Aires,Villa Gesell,11.0,2583,12.0,3608,15.0,4460
Entre Ríos,Villaguay,79.0,4679,93.0,5389,30.0,6314
Buenos Aires,Villarino,23.0,2586,35.0,3167,17.0,3798
La Rioja,Vinchina,6.0,224,7.0,246,5.0,305
Jujuy,Yavi,36.0,2367,36.0,2773,10.0,3272
Tucumán,Yerba Buena,34.0,8420,32.0,10227,29.0,11669
Neuquén,Zapala,27.0,3426,30.0,4712,12.0,5301
San Juan,Zonda,2.0,679,2.0,765,2.0,845
Buenos Aires,Zárate,45.0,9976,45.0,13121,43.0,15610
La Rioja,Ángel Vicente Peñaloza,10.0,255,16.0,333,11.0,355
Río Negro,Ñorquinco,7.0,113,9.0,125,3.0,143
Neuquén,Ñorquín,11.0,440,13.0,563,5.0,605
